时间,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2017/1/11,2536.1497,2500.6821,2454.928,2461.22,2448.7788,2458.5474,2447.2004,2421.5178,2428.0366,2411.1162,2349.0024,2313.8926,2392.249,2343.3027,2310.4363,2331.0496,2361.479,2330.9812,2386.3547,2375.5083,2406.5916,2392.9807,2442.497,2510.6826,2643.9937,2748.8801,2781.8618,2852.2915,2855.6165,2937.0576,3031.389,3217.6162,3346.1697,3455.0815,3527.278,3563.402,3553.4434,3585.5718,3620.3276,3651.095,3720.6885,3726.0327,3737.5447,3697.5408,3703.8206,3760.4531,3683.4346,3632.2246,3577.0957,3489.3862,3493.2234,3497.126,3589.268,3584.4478,3574.3706,3594.6797,3549.3076,3582.3552,3529.0476,3536.8015,3503.989,3555.548,3548.3103,3541.9668,3522.9463,3598.3867,3619.33,3657.3003,3666.5688,3739.1,3740.3374,3765.288,3752.0117,3760.7388,3727.347,3737.691,3747.3857,3723.349,3691.5806,3671.9795,3666.916,3630.1123,3555.3037,3536.3103,3444.7239,3355.6697,3311.1072,3198.2915,3120.4644,3012.6472,2917.745,2836.86,2811.0737,2760.7673,2722.0037,2636.2705
2017/1/12,2607.0981,2578.8638,2563.089,2542.869,2505.1863,2483.0793,2527.9153,2520.4336,2508.5571,2463.4666,2457.7627,2446.9146,2460.745,2458.3027,2372.3545,2439.235,2436.1768,2422.1187,2413.2793,2439.5195,2453.1992,2457.3687,2537.7412,2516.6328,2540.7366,2587.0767,2645.5693,2724.4753,2735.6338,2782.1477,2914.935,3072.8625,3210.431,3299.5054,3409.1873,3477.8318,3503.0542,3516.9863,3595.294,3565.8577,3594.7522,3556.4014,3575.8362,3572.5474,3592.8838,3610.7144,3529.7153,3428.954,3367.267,3305.4316,3289.249,3368.4602,3341.3552,3339.256,3336.9072,3363.0764,3245.0916,3309.5908,3216.395,3207.6223,3230.1333,3262.1184,3222.189,3283.712,3323.4727,3343.1072,3393.2651,3404.8787,3442.5977,3576.517,3552.1697,3644.605,3601.6694,3571.1553,3516.844,3601.0537,3482.8933,3443.079,3426.0981,3448.5896,3404.1843,3413.7063,3328.4666,3244.743,3200.6567,3161.5461,3148.6323,3017.5786,2903.9985,2844.19,2728.2896,2686.0193,2673.8306,2642.5273,2604.2568,2592.558
2017/1/13,2511.0176,2511.6387,2460.2349,2394.5378,2416.7883,2372.161,2382.4536,2330.114,2329.9731,2340.6301,2344.9287,2290.687,2326.1885,2333.1533,2316.7153,2322.087,2294.8362,2269.7788,2204.654,2247.5657,2244.1223,2308.218,2369.3909,2373.4563,2424.672,2455.841,2461.893,2570.741,2590.1375,2670.6118,2820.1663,2906.6533,3090.829,3166.9336,3146.0037,3238.972,3343.2673,3317.4097,3345.829,3354.3115,3371.4746,3357.306,3412.8682,3394.2068,3407.8376,3362.7502,3387.1787,3293.7166,3296.8308,3247.5322,3227.727,3227.4402,3219.5986,3234.274,3245.6958,3234.067,3191.4924,3226.9702,3195.0776,3191.3652,3276.2856,3313.82,3323.9312,3267.6929,3355.3965,3377.9448,3412.813,3542.704,3566.5374,3620.4966,3678.3682,3760.6238,3739.1558,3659.635,3658.6045,3602.3704,3616.5618,3664.2576,3604.0254,3557.9705,3541.478,3465.508,3434.5093,3347.5588,3320.6975,3199.932,3093.8635,3013.0703,2964.9392,2812.8948,2769.141,2720.9038,2699.6978,2673.563,2586.0723,2597.4766
2017/1/14,2539.5637,2497.2944,2461.39,2485.6482,2441.393,2422.6052,2465.5876,2446.1956,2388.4978,2370.999,2390.464,2373.6853,2411.76,2376.27,2324.6797,2367.9026,2375.712,2388.2214,2386.5503,2405.9556,2409.3955,2472.3013,2551.7654,2592.5261,2674.9358,2756.2688,2825.9805,2931.2964,2867.3286,2997.3103,3073.6025,3254.675,3430.9014,3560.2766,3664.4365,3689.717,3768.5195,3811.3372,3870.3403,3839.0261,3902.135,3910.3247,3875.4338,3884.702,3930.0168,3933.468,3869.3052,3837.1462,3777.92,3744.6047,3755.7673,3737.758,3911.005,3841.8271,3768.2227,3755.6426,3778.9377,3826.3022,3771.5574,3788.3704,3771.1152,3799.808,3803.8604,3805.4705,3822.2769,3763.917,3796.1882,3817.6396,3792.8665,3848.0796,3907.2998,3875.7046,3840.1118,3840.0876,3747.2593,3733.7617,3684.6646,3734.9028,3711.5996,3650.584,3645.5986,3576.6477,3544.8008,3498.6892,3403.048,3317.1094,3225.2864,3126.4136,3015.8276,2924.7336,2848.7432,2803.9104,2761.2864,2786.6802,2745.524,2687.3064
2017/1/15,2602.0667,2615.1143,2612.9924,2592.0212,2536.0352,2526.5903,2519.7031,2493.97,2467.863,2472.5166,2525.9194,2440.951,2445.0017,2428.1423,2438.8328,2428.8896,2471.2607,2418.8252,2424.4585,2438.4893,2458.3328,2481.7683,2528.9731,2600.7898,2735.249,2795.9788,2875.601,2977.9521,2929.331,2930.3967,3045.0483,3239.8027,3470.4116,3545.3079,3654.198,3782.7168,3755.2341,3788.6938,3841.0308,3912.9204,3858.097,3854.3545,3865.045,3861.3477,3952.0527,4014.8335,3930.9246,3883.4805,3790.5103,3846.4226,3745.109,3781.3132,3778.2144,3812.7283,3810.656,3816.0784,3755.0916,3731.7488,3753.7786,3716.8772,3724.1306,3754.3167,3740.4246,3725.1558,3772.7617,3764.8643,3770.2427,3737.7441,3780.8708,3844.1887,3793.8784,3885.8975,3772.8774,3796.8242,3766.3398,3740.5046,3743.7102,3769.2588,3758.6062,3728.9177,3671.028,3576.4956,3548.4001,3431.0017,3384.0059,3271.2078,3218.1396,3096.8677,3002.5396,2962.4866,2861.5037,2805.5518,2746.6357,2719.9185,2723.745,2634.3738
2017/1/16,2572.3113,2614.7607,2593.4014,2520.6545,2459.408,2509.2378,2474.5105,2467.6995,2444.3713,2435.7239,2433.831,2485.1511,2455.2356,2429.5874,2430.2524,2423.4468,2410.114,2415.3533,2479.689,2402.55,2484.9985,2531.954,2555.6973,2631.8447,2683.86,2770.2812,2848.3232,2900.157,2900.9495,2948.006,3086.1045,3298.277,3515.0757,3538.242,3652.3772,3691.8545,3733.5525,3724.5422,3803.8772,3767.3025,3812.0146,3835.96,3805.6624,3881.7007,3931.6248,3931.0425,3818.663,3786.373,3752.8003,3607.3887,3657.7588,3621.9175,3704.3303,3703.2012,3649.8228,3669.9116,3643.473,3635.255,3618.2742,3624.4954,3654.6309,3679.2563,3668.8904,3654.2163,3664.8174,3718.9438,3676.5664,3738.4983,3746.3528,3735.8096,3851.171,3860.5945,3820.231,3806.031,3744.39,3735.2761,3736.5068,3697.6223,3690.7734,3701.8835,3648.6128,3621.0515,3511.36,3499.976,3455.8113,3385.779,3240.8604,3230.4585,3090.5247,2955.8704,2859.9707,2761.4253,2797.0117,2763.348,2722.7078,2674.4932
2017/1/17,2592.8728,2591.7559,2620.4688,2561.1272,2536.3662,2509.2405,2462.0132,2515.004,2469.001,2509.7249,2431.301,2446.5305,2474.1511,2483.3242,2432.894,2457.7385,2400.4028,2502.9539,2422.5574,2491.6304,2489.971,2557.5842,2528.8647,2590.0679,2734.9294,2801.8794,2855.5134,2923.3433,2994.7234,3004.4104,3131.831,3291.9976,3462.9536,3543.7288,3692.641,3710.8477,3782.938,3781.6924,3785.67,3806.4949,3811.4644,3813.9363,3798.5037,3812.4204,3804.005,3832.5378,3765.1753,3700.525,3629.505,3660.4087,3555.3086,3571.8125,3582.8188,3631.5786,3571.764,3608.6987,3529.9294,3525.9963,3509.4702,3486.3792,3576.4722,3529.7441,3528.8457,3523.7495,3617.1948,3593.2534,3648.1858,3616.7288,3619.0479,3635.632,3715.0984,3806.9329,3789.0178,3831.393,3740.2937,3778.0664,3745.0515,3715.0737,3660.8662,3682.076,3695.8367,3670.67,3572.3303,3508.3042,3443.2097,3389.2026,3306.8232,3209.9353,3075.7932,2979.8296,2931.5852,2849.7039,2837.393,2768.3916,2754.0437,2656.1284
2017/1/18,2651.6064,2607.3074,2598.3064,2580.56,2578.4253,2514.9998,2497.1582,2445.6619,2455.1777,2457.3257,2449.5051,2418.6792,2418.3538,2348.6128,2389.0125,2378.2156,2361.0708,2412.0735,2418.1794,2424.2397,2446.1082,2442.1785,2529.4104,2538.5225,2635.6694,2724.3347,2740.409,2873.293,2822.2097,2937.8525,3099.4993,3187.3613,3387.412,3465.4294,3514.357,3597.091,3604.7605,3600.4,3698.2708,3681.8848,3726.4917,3692.0513,3690.4995,3674.9666,3660.049,3652.0881,3610.1748,3618.9927,3527.1301,3437.5425,3421.8398,3429.1536,3460.3337,3495.7505,3490.28,3534.8293,3470.146,3414.7341,3410.692,3379.1326,3494.8296,3436.063,3375.7627,3371.3796,3439.8384,3393.1426,3445.6248,3486.645,3563.1648,3551.3296,3655.9258,3738.3452,3701.1553,3651.044,3672.3528,3592.4673,3566.817,3623.476,3488.3623,3521.625,3536.01,3457.2856,3408.5298,3360.7244,3266.559,3213.7773,3124.7803,3059.615,2975.0493,2891.2874,2818.5623,2724.4895,2764.3486,2676.2466,2681.9043,2609.3167
2017/1/19,2579.988,2577.3008,2466.519,2503.1033,2492.7395,2441.3503,2529.555,2450.7058,2403.2273,2409.868,2393.004,2380.4158,2287.8215,2336.4849,2336.5735,2332.2717,2337.1372,2372.186,2350.6858,2352.6477,2390.0835,2442.3896,2465.1301,2439.4265,2479.7903,2540.6516,2547.8687,2629.4932,2650.2788,2709.9224,2918.6592,3028.568,3075.31,3193.0151,3294.2393,3322.1685,3412.0225,3434.2012,3454.2056,3428.544,3437.9963,3452.2383,3448.8389,3432.667,3496.217,3475.1318,3392.5898,3370.4067,3280.803,3263.101,3257.5688,3314.1292,3310.06,3389.3892,3372.2583,3356.3582,3368.49,3359.3215,3343.468,3313.7324,3321.6516,3279.2183,3350.6438,3311.4502,3367.3582,3359.6028,3440.3037,3507.236,3507.885,3518.6975,3608.2961,3665.785,3644.2632,3609.1785,3561.4302,3528.207,3533.3662,3540.6526,3509.511,3521.9336,3473.6223,3487.1675,3421.8174,3303.0686,3274.2156,3265.4539,3156.8489,3027.4749,2970.689,2911.0503,2804.6348,2744.895,2697.959,2710.671,2662.5713,2643.4812
2017/1/20,2581.0962,2552.2158,2509.304,2507.583,2496.174,2448.1516,2428.3096,2426.7588,2409.3223,2428.5576,2439.735,2364.5308,2360.065,2415.5442,2390.9133,2378.9,2383.019,2369.2742,2405.1768,2357.879,2398.1392,2406.6724,2384.8564,2413.4314,2483.3667,2511.8008,2479.121,2526.9863,2610.6409,2664.4167,2716.2341,2855.568,2949.5203,3080.8223,3162.4514,3218.0337,3224.7493,3243.3435,3365.8723,3356.518,3403.713,3389.4407,3343.5774,3400.571,3387.2239,3410.6665,3468.3955,3413.5647,3379.0586,3303.724,3276.2644,3311.6997,3356.7603,3312.2224,3248.7449,3294.2559,3277.3843,3211.3738,3176.4539,3187.4192,3281.3513,3242.3687,3272.8562,3307.105,3344.9138,3407.974,3452.8809,3462.0608,3533.4348,3573.9907,3645.3242,3625.759,3653.621,3566.6443,3500.541,3501.4526,3535.3481,3473.8916,3406.7524,3388.7297,3348.7378,3383.145,3284.9734,3180.7942,3096.1907,3082.9507,2967.6443,2905.4202,2789.4697,2689.7925,2579.415,2566.434,2572.0986,2552.722,2498.5505,2410.5706
